level,name,Total population_2022,Population under age 18_2022,Percent under age 18_2022,Population ages 18+_2022,Percent ages 18+_2022,Population ages 65+_2022,Percent ages 65+_2022,White population_2022,Percent white_2022,Black population_2022,Percent Black_2022,Latino population_2022,Percent Latino_2022,Other race population_2022,Percent other race_2022,Foreign-born population_2022,Percent foreign-born_2022,Total households_2022,Owner-occupied households_2022,Homeownership rate_2022,Cost-burdened households_2022,Cost-burden rate_2022,Poverty status known_2022,Population in poverty_2022,Poverty rate_2022,Low-income population_2022,Low-income rate_2022,"Under 18, poverty status known_2022",Children in poverty_2022,Child poverty rate_2022,Low-income children_2022,Child low-income rate_2022,"Ages 65+, poverty status known_2022",Seniors in poverty_2022,Senior poverty rate_2022,Low-income seniors_2022,Senior low-income rate_2022,Life expectancy in years_2010-2015,Percent adults with coronary heart disease_2021,Current asthma rate (adults)_2021,Diabetes rate (adults)_2021,Percent adults with high blood pressure_2021,Percent adults with any disability_2021,Percent adults with mobility disability_2021,Annual checkup rate (adults)_2021,Annual dental visit rate (adults)_2020,"Ages 18-64, no health insurance_2021",Current smoking rate (adults)_2021,Percent adults sleeping under 7 hours daily_2020
lower_legis,State House District 55,24280,5190,0.21,19090,0.79,4251,0.18,21152,0.87,304,0.01,1451,0.06,1373,0.06,1510,0.06,8984,8194,0.91,2100,0.24,24142,1263,0.05,2255,0.09,5156,242,0.05,495,0.1,4150,203,0.05,550,0.13,81.8,0.047,0.107,0.082,0.295,0.205,0.09,0.779,0.767,0.041,0.116,0.319
lower_legis,State House District 56,23066,4098,0.18,18968,0.82,3896,0.17,16427,0.71,1617,0.07,2809,0.12,2213,0.1,2162,0.09,10106,4801,0.48,3463,0.35,22808,3278,0.14,7096,0.31,4085,545,0.13,1516,0.37,3657,492,0.13,1248,0.34,78.9,0.054,0.113,0.091,0.303,0.256,0.113,0.772,0.679,0.07,0.154,0.343
lower_legis,State House District 57,24005,5103,0.21,18902,0.79,4324,0.18,18301,0.76,1201,0.05,1897,0.08,2606,0.11,2230,0.09,9501,6539,0.69,2561,0.27,23883,1707,0.07,3234,0.14,4982,403,0.08,542,0.11,4324,185,0.04,869,0.2,80.7,0.051,0.11,0.085,0.298,0.229,0.1,0.774,0.726,0.054,0.133,0.332
lower_legis,State House District 58,22878,4863,0.21,18015,0.79,4068,0.18,15571,0.68,1215,0.05,3354,0.15,2738,0.12,1697,0.07,9561,6463,0.68,3085,0.33,22631,3275,0.14,6123,0.27,4825,1205,0.25,1965,0.41,3867,313,0.08,800,0.21,78.9,0.056,0.115,0.095,0.314,0.274,0.115,0.757,0.683,0.075,0.153,0.349
lower_legis,State House District 59,24788,3868,0.16,20920,0.84,4428,0.18,18580,0.75,1573,0.06,2477,0.1,2158,0.09,1779,0.07,10038,8131,0.81,2460,0.25,23026,1005,0.04,2645,0.11,3811,229,0.06,597,0.16,4208,253,0.06,704,0.17,79.6,0.053,0.111,0.09,0.31,0.249,0.105,0.765,0.723,0.061,0.132,0.337
lower_legis,State House District 6,23128,4986,0.22,18142,0.78,3416,0.15,4055,0.18,4894,0.21,13539,0.59,640,0.03,6116,0.26,9189,4245,0.46,4520,0.51,22797,3824,0.17,8194,0.36,4875,1261,0.26,2403,0.49,3216,742,0.23,1354,0.42,78.5,0.057,0.131,0.138,0.321,0.358,0.158,0.75,0.552,0.181,0.181,0.384
lower_legis,State House District 60,23627,4301,0.18,19326,0.82,4407,0.19,14477,0.61,3932,0.17,2467,0.1,2751,0.12,2733,0.12,9968,7858,0.79,3019,0.31,23550,1622,0.07,4196,0.18,4296,287,0.07,999,0.23,4358,281,0.06,856,0.2,79.8,0.055,0.116,0.104,0.334,0.255,0.115,0.784,0.718,0.058,0.128,0.348
lower_legis,State House District 61,26151,5226,0.2,20925,0.8,4617,0.18,20901,0.8,1807,0.07,1547,0.06,1896,0.07,1888,0.07,9263,7992,0.86,2165,0.24,24210,1068,0.04,2187,0.09,5051,274,0.05,520,0.1,4422,201,0.05,504,0.11,80.6,0.054,0.111,0.09,0.311,0.246,0.105,0.768,0.731,0.057,0.128,0.332
lower_legis,State House District 62,23118,4695,0.2,18423,0.8,4479,0.19,21204,0.92,108,0,869,0.04,937,0.04,1009,0.04,9108,8142,0.89,1916,0.22,23000,605,0.03,1816,0.08,4671,76,0.02,218,0.05,4393,215,0.05,509,0.12,81.9,0.051,0.105,0.083,0.295,0.212,0.095,0.765,0.768,0.041,0.114,0.315
lower_legis,State House District 63,22420,3676,0.16,18744,0.84,5386,0.24,17985,0.8,933,0.04,2185,0.1,1317,0.06,1588,0.07,9779,7346,0.75,3084,0.32,21943,2155,0.1,4228,0.19,3460,405,0.12,936,0.27,5191,591,0.11,1071,0.21,79.6,0.061,0.106,0.095,0.303,0.263,0.126,0.742,0.685,0.07,0.15,0.334
